ID,Name,Type,Has Leggacy,Offering (Estimated),Expiry,Egg,Egg Value,Duration,Size,Token,Std#1,Std#2,Std#3,Std Rate/hr,Elt#1,Elt#2,Elt#3,Elt Rate/hr,#PE,Std PE Goal,Std PE Rate/hr,Elt PE Goal,Elt PE Rate/hr,JSON,Protobuf (base64)
laurel-v-yanny,Laurel vs Yanny,Original,true,2018-05-10Z,2018-05-31T04:50:03Z,Quantum,3000,4d,7,-,70T,2q,,20.833T,,,,,1,2q,20.833T,,,"{""id"":""laurel-v-yanny"",""egg_type"":7,""rewards"":[{""_1"":1,""goal"":70000000000000,""type"":3,""name"":""subtype"",""count"":10000,""_6"":1000},{""_1"":1,""goal"":2000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":25000000000}],""coop_allowed"":true,""max_coop_size"":7,""expiry_timestamp"":1527742203.6360676,""duration_seconds"":345600,""name"":""Laurel vs Yanny"",""description"":""A Quantum rift is causing people to hear different words in a viral video. Scientists have a fix but they need your help.""}",Cg5sYXVyZWwtdi15YW5ueRAHGigIAREAADCREtXPQhgDIgdzdWJ0eXBlKQAAAAAAiMNAMQAAAAAAQI9AGigIAREAADQm9WscQxgEIgdzdWJ0eXBlKQAAAAAAAPA/MQAAAOh2SBdCIAEoBzFVtei+38PWQTkAAAAAABgVQUoPTGF1cmVsIHZzIFlhbm55UnlBIFF1YW50dW0gcmlmdCBpcyBjYXVzaW5nIHBlb3BsZSB0byBoZWFyIGRpZmZlcmVudCB3b3JkcyBpbiBhIHZpcmFsIHZpZGVvLiBTY2llbnRpc3RzIGhhdmUgYSBmaXggYnV0IHRoZXkgbmVlZCB5b3VyIGhlbHAu
time-tourism,Time Tourism,Original,true,2018-05-18Z,2018-06-08T14:55:14Z,Tachyon,50000,5d,25,-,150T,750T,25q,208.333T,,,,,1,25q,208.333T,,,"{""id"":""time-tourism"",""egg_type"":9,""rewards"":[{""_1"":1,""goal"":150000000000000,""type"":8,""name"":""subtype"",""count"":1,""_6"":500},{""_1"":1,""goal"":750000000000000,""type"":2,""name"":""subtype"",""count"":2400,""_6"":200000},{""_1"":1,""goal"":25000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":50000000000}],""coop_allowed"":true,""max_coop_size"":25,""expiry_timestamp"":1528469714.1441667,""duration_seconds"":432000,""name"":""Time Tourism"",""description"":""With Memorial Day approaching, so called \""Time Tourism\"" is booming and Tachyon eggs are in short supply!""}",Cgx0aW1lLXRvdXJpc20QCRooCAERAADsFpMN4UIYCCIHc3VidHlwZSkAAAAAAADwPzEAAAAAAEB/QBooCAERAACn3PdQBUMYAiIHc3VidHlwZSkAAAAAAMCiQDEAAAAAAGoIQRooCAERAKDYhVc0VkMYBCIHc3VidHlwZSkAAAAAAADwPzEAAADodkgnQiABKBkxBzqJNKbG1kE5AAAAAABeGkFKDFRpbWUgVG91cmlzbVJoV2l0aCBNZW1vcmlhbCBEYXkgYXBwcm9hY2hpbmcsIHNvIGNhbGxlZCAiVGltZSBUb3VyaXNtIiBpcyBib29taW5nIGFuZCBUYWNoeW9uIGVnZ3MgYXJlIGluIHNob3J0IHN1cHBseSE=
housing-boom,Housing Boom!,Original,true,2018-05-25Z,2018-06-15T17:43:17Z,Super Material,150,14d6m,2,-,1q,5q,,14.876T,,,,,2,5q,14.876T,,,"{""id"":""housing-boom"",""egg_type"":5,""rewards"":[{""_1"":1,""goal"":1000000000000000,""type"":3,""count"":25000,""_6"":50000},{""_1"":1,""goal"":5000000000000000,""type"":4,""name"":""subtype"",""count"":2,""_6"":25000000000}],""coop_allowed"":true,""max_coop_size"":2,""expiry_timestamp"":1529084597.928005,""duration_seconds"":1210000,""name"":""Housing Boom!"",""description"":""There are housing shortages all over the galaxy, the building boom needs more Super Material eggs to catch up!""}",Cgxob3VzaW5nLWJvb20QBRofCAERAAA0JvVrDEMYAykAAAAAAGrYQDEAAAAAAGroQBooCAERAIDgN3nDMUMYBCIHc3VidHlwZSkAAAAAAAAAQDEAAADodkgXQiABKAIxb2R7rf7I1kE5AAAAAJB2MkFKDUhvdXNpbmcgQm9vbSFSblRoZXJlIGFyZSBob3VzaW5nIHNob3J0YWdlcyBhbGwgb3ZlciB0aGUgZ2FsYXh5LCB0aGUgYnVpbGRpbmcgYm9vbSBuZWVkcyBtb3JlIFN1cGVyIE1hdGVyaWFsIGVnZ3MgdG8gY2F0Y2ggdXAh
schools-out-2018,School's Out!,Original,true,2018-06-01Z,2018-06-22T16:36:00Z,Prodigy,1.5M,2d,10,-,40T,500T,,10.417T,,,,,1,500T,10.417T,,,"{""id"":""schools-out-2018"",""egg_type"":12,""rewards"":[{""_1"":1,""goal"":40000000000000,""type"":5,""name"":""drone_rewards"",""count"":2,""_6"":300000},{""_1"":1,""goal"":500000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":100000000000}],""coop_allowed"":true,""max_coop_size"":10,""expiry_timestamp"":1529685360.229177,""duration_seconds"":172800,""name"":""School's Out!"",""description"":""A new batch of students have earned their certification to consume Prodigy Eggs!""}",ChBzY2hvb2xzLW91dC0yMDE4EAwaLggBEQAAQOWcMMJCGAUiDWRyb25lX3Jld2FyZHMpAAAAAAAAAEAxAAAAAIBPEkEaKAgBEQAANCb1a/xCGAQiB3N1YnR5cGUpAAAAAAAA8D8xAAAA6HZIN0IgASgKMdaqDlxJy9ZBOQAAAAAAGAVBSg1TY2hvb2wncyBPdXQhUlBBIG5ldyBiYXRjaCBvZiBzdHVkZW50cyBoYXZlIGVhcm5lZCB0aGVpciBjZXJ0aWZpY2F0aW9uIHRvIGNvbnN1bWUgUHJvZGlneSBFZ2dzIQ==
tool-time,Tool Time!,Original,true,2018-06-08Z,2018-06-29T17:41:43Z,Super Material,150,4d,20,-,50T,500T,4q,41.667T,,,,,1,4q,41.667T,,,"{""id"":""tool-time"",""egg_type"":5,""rewards"":[{""_1"":1,""goal"":50000000000000,""type"":3,""name"":""subtype"",""count"":1000,""_6"":500},{""_1"":1,""goal"":500000000000000,""type"":6,""name"":""subtype"",""count"":20000,""_6"":1000000},{""_1"":1,""goal"":4000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":100000000000}],""coop_allowed"":true,""max_coop_size"":20,""expiry_timestamp"":1530294103.76465,""duration_seconds"":345600,""name"":""Tool Time!"",""description"":""It's father's day around the galaxy and power tools are flying off the shelves. Help restock!""}",Cgl0b29sLXRpbWUQBRooCAERAACQHsS8xkIYAyIHc3VidHlwZSkAAAAAAECPQDEAAAAAAEB/QBooCAERAAA0JvVr/EIYBiIHc3VidHlwZSkAAAAAAIjTQDEAAAAAgIQuQRooCAERAAA0JvVrLEMYBCIHc3VidHlwZSkAAAAAAADwPzEAAADodkg3QiABKBQxB/Dw1ZvN1kE5AAAAAAAYFUFKClRvb2wgVGltZSFSXUl0J3MgZmF0aGVyJ3MgZGF5IGFyb3VuZCB0aGUgZ2FsYXh5IGFuZCBwb3dlciB0b29scyBhcmUgZmx5aW5nIG9mZiB0aGUgc2hlbHZlcy4gSGVscCByZXN0b2NrIQ==
fday-ouch,Ouch!,Original,true,2018-06-08Z,2018-06-29T17:58:35Z,Medical,6.25,2d,-,-,10T,40T,,833.333B,,,,,1,40T,833.333B,,,"{""id"":""fday-ouch"",""egg_type"":3,""rewards"":[{""_1"":1,""goal"":10000000000000,""type"":2,""name"":""subtype"",""count"":500,""_6"":20000},{""_1"":1,""goal"":40000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":2000000000000000}],""expiry_timestamp"":1530295115.9592679,""duration_seconds"":172800,""name"":""Ouch!"",""description"":""With all those new power tools out there, there are lots of minor injuries. First Aid!""}",CglmZGF5LW91Y2gQAxooCAERAABA5ZwwokIYAiIHc3VidHlwZSkAAAAAAEB/QDEAAAAAAIjTQBooCAERAABA5ZwwwkIYBCIHc3VidHlwZSkAAAAAAADwPzEAADQm9WscQzGlZP3SnM3WQTkAAAAAABgFQUoFT3VjaCFSVldpdGggYWxsIHRob3NlIG5ldyBwb3dlciB0b29scyBvdXQgdGhlcmUsIHRoZXJlIGFyZSBsb3RzIG9mIG1pbm9yIGluanVyaWVzLiBGaXJzdCBBaWQh
last-min-fireworks,Last Minute,Original,true,2018-06-14Z,2018-07-05T16:04:33Z,Firework,4.99,1d,-,-,3T,25T,,1.042T,,,,,1,25T,1.042T,,,"{""id"":""last-min-fireworks"",""egg_type"":103,""rewards"":[{""_1"":1,""goal"":3000000000000,""type"":3,""name"":""subtype"",""count"":10000,""_6"":8000},{""_1"":1,""goal"":25000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":30000000000}],""expiry_timestamp"":1530806673.3008375,""duration_seconds"":86400,""name"":""Last Minute"",""description"":""More fireworks are needed ASAP!""}",ChJsYXN0LW1pbi1maXJld29ya3MQZxooCAERAACAee/ThUIYAyIHc3VidHlwZSkAAAAAAIjDQDEAAAAAAEC/QBooCAERAACQHsS8tkIYBCIHc3VidHlwZSkAAAAAAADwPzEAAACwjvAbQjHsQFNkkM/WQTkAAAAAABj1QEoLTGFzdCBNaW51dGVSH01vcmUgZmlyZXdvcmtzIGFyZSBuZWVkZWQgQVNBUCE=
long-days-fwork,Getting Ready,Original,true,2018-06-14Z,2018-07-05T18:27:01Z,Firework,4.99,7d,-,-,1.5q,2.5q,,14.881T,,,,,1,2.5q,14.881T,,,"{""id"":""long-days-fwork"",""egg_type"":103,""rewards"":[{""_1"":1,""goal"":1500000000000000,""type"":6,""count"":50000,""_6"":100000000},{""_1"":1,""goal"":2500000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":1000000000000}],""expiry_timestamp"":1530815221.7627237,""duration_seconds"":604800,""name"":""Getting Ready"",""description"":""With 4th of July nearing in the States, scientists have found a new way to meet the demand for fireworks...""}",Cg9sb25nLWRheXMtZndvcmsQZxofCAERAACn3PdQFUMYBikAAAAAAGroQDEAAAAAhNeXQRooCAERAIDgN3nDIUMYBCIHc3VidHlwZSkAAAAAAADwPzEAAACilBptQjF30HC9mM/WQTkAAAAAAHUiQUoNR2V0dGluZyBSZWFkeVJrV2l0aCA0dGggb2YgSnVseSBuZWFyaW5nIGluIHRoZSBTdGF0ZXMsIHNjaWVudGlzdHMgaGF2ZSBmb3VuZCBhIG5ldyB3YXkgdG8gbWVldCB0aGUgZGVtYW5kIGZvciBmaXJld29ya3MuLi4=
long-days-wb,Waterballoon Fight!,Original,true,2018-06-28Z,2018-07-19T18:19:32Z,Waterballoon,0.1,4d,6,-,75T,500T,3q,31.250T,,,,,1,3q,31.250T,,,"{""id"":""long-days-wb"",""egg_type"":102,""rewards"":[{""_1"":1,""goal"":75000000000000,""type"":2,""name"":""subtype"",""count"":621,""_6"":500000},{""_1"":1,""goal"":500000000000000,""type"":3,""name"":""subtype"",""count"":500000,""_6"":1000000},{""_1"":1,""goal"":3000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":100000000000}],""coop_allowed"":true,""max_coop_size"":6,""expiry_timestamp"":1532024372.9255185,""duration_seconds"":345600,""name"":""Waterballoon Fight!"",""description"":""The longest day of the year is here (norther hemisphere) and you know what that means!""}",Cgxsb25nLWRheXMtd2IQZhooCAERAADsFpMN0UIYAiIHc3VidHlwZSkAAAAAAGiDQDEAAAAAgIQeQRooCAERAAA0JvVr/EIYAyIHc3VidHlwZSkAAAAAgIQeQTEAAAAAgIQuQRooCAERAACn3PdQJUMYBCIHc3VidHlwZSkAAAAAAADwPzEAAADodkg3QiABKAYxsjs7jTXU1kE5AAAAAAAYFUFKE1dhdGVyYmFsbG9vbiBGaWdodCFSVlRoZSBsb25nZXN0IGRheSBvZiB0aGUgeWVhciBpcyBoZXJlIChub3J0aGVyIGhlbWlzcGhlcmUpIGFuZCB5b3Uga25vdyB3aGF0IHRoYXQgbWVhbnMh
anni-solo,Egg Day 2018,Original,true,2018-07-06Z,2018-07-27T23:18:20Z,Firework,4.99,3d,-,-,150T,500T,,6.944T,,,,,1,500T,6.944T,,,"{""id"":""anni-solo"",""egg_type"":103,""rewards"":[{""_1"":1,""goal"":150000000000000,""type"":2,""name"":""subtype"",""count"":2500,""_6"":800000},{""_1"":1,""goal"":500000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":10000000000}],""expiry_timestamp"":1532733500.219127,""duration_seconds"":259200,""name"":""Egg Day 2018"",""description"":""Some folks like to celebrate Egg Day with a bang!""}",Cglhbm5pLXNvbG8QZxooCAERAADsFpMN4UIYAiIHc3VidHlwZSkAAAAAAIijQDEAAAAAAGooQRooCAERAAA0JvVr/EIYBCIHc3VidHlwZSkAAAAAAADwPzEAAAAgX6ACQjEtBg4P6tbWQTkAAAAAAKQPQUoMRWdnIERheSAyMDE4UjFTb21lIGZvbGtzIGxpa2UgdG8gY2VsZWJyYXRlIEVnZyBEYXkgd2l0aCBhIGJhbmch
